temp,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_main,weather_description,date,time
294.16,292.15,295.15,1020,78,4,90,Clouds,overcast clouds,2013-05-19,20:00:00
293.6,291.15,295.15,1020,78,2,90,Clouds,overcast clouds,2013-05-19,21:00:00
293.01,291.15,294.15,1020,83,3,90,Clouds,overcast clouds,2013-05-19,22:00:00
292.62,291.15,294.15,1020,83,5,90,Clouds,overcast clouds,2013-05-19,23:00:00
291.77,291.15,292.15,1020,93,4,90,Clouds,overcast clouds,2013-05-20,00:00:00
291.77,291.15,292.15,1020,93,4,90,Clouds,overcast clouds,2013-05-20,01:00:00
291.77,291.15,292.15,1020,93,3,90,Mist,mist,2013-05-20,02:00:00
291.77,291.15,292.15,1019,93,3,90,Mist,mist,2013-05-20,03:00:00
291.96,291.15,292.59,1019,93,0,90,Mist,mist,2013-05-20,05:00:00
292.09,291.15,293.15,1019,93,3,90,Rain,light rain,2013-05-20,06:00:00
292.02,291.15,292.59,1020,93,2,90,Mist,mist,2013-05-20,07:00:00
292.36,291.15,293.15,1020,93,1,75,Mist,mist,2013-05-20,08:00:00
293.16,292.04,294.26,1020,88,3,90,Mist,mist,2013-05-20,09:00:00
293.79,293.15,295.15,1021,88,2,90,Clouds,overcast clouds,2013-05-20,10:00:00
294.84,293.71,296.48,1020,78,1,90,Rain,light rain,2013-05-20,11:00:00
296.33,295.15,299.26,1020,83,3,90,Clouds,overcast clouds,2013-05-20,12:00:00
296.8,295.15,298.71,1020,78,1,90,Clouds,overcast clouds,2013-05-20,13:00:00
297.31,294.82,299.15,1018,65,3,90,Thunderstorm,thunderstorm,2013-05-20,14:00:00
297.46,295.15,299.15,1018,65,2,90,Thunderstorm,thunderstorm,2013-05-20,15:00:00
297.0,294.15,299.15,1018,78,5,90,Thunderstorm,thunderstorm,2013-05-20,17:00:00
296.13,294.15,297.15,1018,78,3,90,Thunderstorm,thunderstorm,2013-05-20,18:00:00
295.52,294.15,297.15,1018,83,3,75,Thunderstorm,proximity thunderstorm,2013-05-20,19:00:00
294.57,293.71,295.15,1018,94,4,90,Rain,moderate rain,2013-05-20,20:00:00
293.81,293.15,294.15,1018,94,5,90,Rain,light rain,2013-05-20,21:00:00
293.05,292.59,293.15,1019,94,3,90,Clouds,overcast clouds,2013-05-20,22:00:00
292.7,292.15,293.15,1019,88,0,90,Clouds,overcast clouds,2013-05-20,23:00:00
292.53,292.15,293.15,1019,100,4,90,Rain,light rain,2013-05-21,00:00:00
292.53,292.15,293.15,1019,100,3,90,Drizzle,light intensity drizzle,2013-05-21,01:00:00
292.53,291.15,293.15,1019,100,0,90,Mist,mist,2013-05-21,02:00:00
292.55,291.15,293.15,1019,100,0,90,Mist,mist,2013-05-21,03:00:00
